date,btcusdt_close,ethusdt_close
2024-09-16,58213.99,2295.68
2024-09-17,60313.99,2341.8
2024-09-18,61759.99,2374.75
2024-09-19,62947.99,2465.21
2024-09-20,63201.05,2561.4
2024-09-21,63348.96,2612.4
2024-09-22,63578.76,2581.0
2024-09-23,63339.99,2646.97
2024-09-24,64262.7,2653.2
2024-09-25,63152.01,2579.95
2024-09-26,65173.99,2632.26
2024-09-27,65769.95,2694.43
2024-09-28,65858.0,2675.21
2024-09-29,65602.01,2657.62
2024-09-30,63327.59,2602.23
2024-10-01,60805.78,2447.79
2024-10-02,60649.28,2364.1
2024-10-03,60752.71,2349.8
2024-10-04,62086.0,2414.41
2024-10-05,62058.0,2414.66
2024-10-06,62819.91,2440.03
2024-10-07,62224.0,2422.71
2024-10-08,62160.49,2440.89
2024-10-09,60636.02,2370.47
2024-10-10,60326.39,2386.49
2024-10-11,62540.0,2439.5
2024-10-12,63206.22,2476.4
2024-10-13,62870.02,2468.91
2024-10-14,66083.99,2629.79
2024-10-15,67074.14,2607.41
2024-10-16,67620.01,2611.1
2024-10-17,67421.78,2605.8
2024-10-18,68428.0,2642.17
2024-10-19,68378.0,2648.2
2024-10-20,69031.99,2746.91
2024-10-21,67377.5,2666.7
2024-10-22,67426.0,2622.81
2024-10-23,66668.65,2524.61
2024-10-24,68198.28,2535.82
2024-10-25,66698.33,2440.62
2024-10-26,67092.76,2482.51
2024-10-27,68021.7,2507.8
2024-10-28,69962.21,2567.48
2024-10-29,72736.42,2638.8
2024-10-30,72344.74,2659.19
2024-10-31,70292.01,2518.61
2024-11-01,69496.01,2511.49
2024-11-02,69374.74,2494.23
2024-11-03,68775.99,2457.73
2024-11-04,67850.01,2398.21
2024-11-05,69372.01,2422.55
2024-11-06,75571.99,2721.87
2024-11-07,75857.89,2895.47
2024-11-08,76509.78,2961.75
2024-11-09,76677.46,3126.21
2024-11-10,80370.01,3183.21
2024-11-11,88647.99,3371.59
2024-11-12,87952.01,3243.8
2024-11-13,90375.2,3187.16
2024-11-14,87325.59,3058.82
2024-11-15,91032.07,3090.01
2024-11-16,90586.92,3132.87
2024-11-17,89855.99,3076.0
2024-11-18,90464.08,3207.8
2024-11-19,92310.79,3107.44
2024-11-20,94286.56,3069.97
2024-11-21,98317.12,3355.81
2024-11-22,98892.0,3327.78
2024-11-23,97672.4,3393.91
2024-11-24,97900.04,3361.2
2024-11-25,93010.01,3414.49
2024-11-26,91965.16,3324.73
2024-11-27,95863.11,3653.28
2024-11-28,95643.98,3578.79
2024-11-29,97460.0,3592.21
2024-11-30,96407.99,3703.6
2024-12-01,97185.18,3707.61
2024-12-02,95840.62,3643.42
